,AÑO,MES,FINCA,POTRERO,AREA M2,ACTIVIDAD,FECHA ACTIVIDAD,PRODUCTO,HATO,TIPO DE FORRAJE,FECHA ENTRADA,FECHA SALIDA,DIAS ANTIGUEDAD PASTOS,AFORO,FORRAJE FRECIDO,DIAS ESTADIA,NUMERO ANIMALES,LECHE TOTAL,LECHE POR DIA,LECHE POR VACA,FECHA PROYECTADA FUMIGACION,ANO FUMIGACION,MES FUMIGACION,Unnamed: 23,Unnamed: 24,Unnamed: 25,Contador,15289,Unnamed: 28,Unnamed: 29,ACTIVIDAD.1,2,Unnamed: 32,SIEMBRA,3,FUMIGADA,2.1,ABONADA,74,RENOVADA,292,CORTE,624,HENOLAJE,645,DESBROSADA,695,ROTOBO,1695,RIEGO,2175,ENMIENDA,2340,ENCALADO,2485,PASTOREO,832,INTERSIEMBRA,9197,RASTRILLO,9677
65,2017,1,LA ISLA,11,5185,FUMIGADA,2017-01-10 00:00:00,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2017,1,LA ISLA,17,9896,FUMIGADA,2017-01-10 00:00:00,10/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2017,1,LA ISLA,30,8687,FUMIGADA,2017-01-10 00:00:00,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2017,1,LA ISLA,36,14693,FUMIGADA,2017-01-10 00:00:00,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2017,1,JUNCAL,13,13263,FUMIGADA,2017-01-11 00:00:00,11/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2017,1,JUNCAL,14,11906,FUMIGADA,2017-01-11 00:00:00,11/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2017,1,JUNCAL,15,11214,FUMIGADA,2017-01-11 00:00:00,11/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2017,1,LA ISLA,28,16304,ABONADA,2017-01-12 00:00:00,A =12/1 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2017,1,LA ISLA,29,14810,ABONADA,2017-01-12 00:00:00,A =12/1 M-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2017,1,JUNCAL,16,11994,FUMIGADA,2017-01-12 00:00:00,12/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
